genome	k	S_alg	algorithm	camel_DS	d	M_alg	kmer_count	l	o	z	r	S_xz_bytes	M_xz_bytes	enc1_xz_bytes	enc2_xz_bytes	camel_mem_bytes	camel_real_s	camel_usr_s	camel_sys_s	pref0	pref
spneumoniae	5	pseudosimplitigsAC	loc-greedy	AC	4	ones	512	522	518	4	1	308	76	384	312	8460000	0.21	0.16	0	spneumoniae.S_pseudosimplitigsAC.k_5.d_4	spneumoniae.S_pseudosimplitigsAC.k_5.d_4.M_ones
spneumoniae	5	pseudosimplitigsAC	loc-greedy	AC	4	runs	512	522	518	4	1	308	76	384	312	8460000	0.21	0.16	0	spneumoniae.S_pseudosimplitigsAC.k_5.d_4	spneumoniae.S_pseudosimplitigsAC.k_5.d_4.M_runs
spneumoniae	5	pseudosimplitigsAC	loc-greedy	AC	4	zeros	512	522	512	10	4	308	84	392	316	8460000	0.21	0.16	0	spneumoniae.S_pseudosimplitigsAC.k_5.d_4	spneumoniae.S_pseudosimplitigsAC.k_5.d_4.M_zeros
spneumoniae	6	pseudosimplitigs	loc-greedy	HT	1	default	2080	2285	2080	205	41	660	140	800	744	7360000	0.19	0.14	0	spneumoniae.S_pseudosimplitigs.k_6.d_1	spneumoniae.S_pseudosimplitigs.k_6.d_1.M_default
spneumoniae	6	pseudosimplitigs	loc-greedy	HT	1	ones	2080	2285	2280	5	1	660	88	748	664	7360000	0.19	0.14	0	spneumoniae.S_pseudosimplitigs.k_6.d_1	spneumoniae.S_pseudosimplitigs.k_6.d_1.M_ones
spneumoniae	6	pseudosimplitigs	loc-greedy	HT	1	runs	2080	2285	2280	5	1	660	88	748	664	7360000	0.19	0.14	0	spneumoniae.S_pseudosimplitigs.k_6.d_1	spneumoniae.S_pseudosimplitigs.k_6.d_1.M_runs
spneumoniae	6	pseudosimplitigs	loc-greedy	HT	1	zeros	2080	2285	2080	205	62	660	184	844	760	7360000	0.19	0.14	0	spneumoniae.S_pseudosimplitigs.k_6.d_1	spneumoniae.S_pseudosimplitigs.k_6.d_1.M_zeros
spneumoniae	6	pseudosimplitigs	loc-greedy	HT	2	default	2080	2259	2080	179	75	672	192	864	752	8408000	0.15	0.11	0	spneumoniae.S_pseudosimplitigs.k_6.d_2	spneumoniae.S_pseudosimplitigs.k_6.d_2.M_default
spneumoniae	6	pseudosimplitigs	loc-greedy	HT	2	ones	2080	2259	2254	5	1	672	88	760	676	8408000	0.15	0.11	0	spneumoniae.S_pseudosimplitigs.k_6.d_2	spneumoniae.S_pseudosimplitigs.k_6.d_2.M_ones
spneumoniae	6	pseudosimplitigs	loc-greedy	HT	2	runs	2080	2259	2254	5	1	672	88	760	676	8408000	0.15	0.11	0	spneumoniae.S_pseudosimplitigs.k_6.d_2	spneumoniae.S_pseudosimplitigs.k_6.d_2.M_runs
spneumoniae	6	pseudosimplitigs	loc-greedy	HT	2	zeros	2080	2259	2080	179	77	672	196	868	756	8408000	0.15	0.11	0	spneumoniae.S_pseudosimplitigs.k_6.d_2	spneumoniae.S_pseudosimplitigs.k_6.d_2.M_zeros
spneumoniae	6	pseudosimplitigs	loc-greedy	HT	3	default	2080	2297	2080	217	140	672	244	916	808	8432000	0.18	0.14	0	spneumoniae.S_pseudosimplitigs.k_6.d_3	spneumoniae.S_pseudosimplitigs.k_6.d_3.M_default
spneumoniae	6	pseudosimplitigs	loc-greedy	HT	3	ones	2080	2297	2292	5	1	672	88	760	680	8432000	0.18	0.14	0	spneumoniae.S_pseudosimplitigs.k_6.d_3	spneumoniae.S_pseudosimplitigs.k_6.d_3.M_ones
spneumoniae	6	pseudosimplitigs	loc-greedy	HT	3	runs	2080	2297	2292	5	1	672	88	760	680	8432000	0.18	0.14	0	spneumoniae.S_pseudosimplitigs.k_6.d_3	spneumoniae.S_pseudosimplitigs.k_6.d_3.M_runs
spneumoniae	6	pseudosimplitigs	loc-greedy	HT	3	zeros	2080	2297	2080	217	144	672	252	924	816	8432000	0.18	0.14	0	spneumoniae.S_pseudosimplitigs.k_6.d_3	spneumoniae.S_pseudosimplitigs.k_6.d_3.M_zeros
